YEAR,ROUND,REGION,T1ID,T1SEED,T1SCORE,T1NAME,T1PTS,T1REB,T1AST,T1STL,T1BLK,T1TO,T1FG%,T1FT%,T13P%,T1W,T1L,T1HW,T1HL,T1AW,T1AL,T1BPI,T1SOS,T1SOR,T1REC,T1HREC,T1AREC,T2ID,T2SEED,T2SCORE,T2NAME,T2PTS,T2REB,T2AST,T2STL,T2BLK,T2TO,T2FG%,T2FT%,T23P%,T2W,T2L,T2HW,T2HL,T2AW,T2AL,T2BPI,T2SOS,T2SOR,T2REC,T2HREC,T2AREC,SEEDDIFF,BPIDIFF,SOSDIFF,SORDIFF,WINNER
2008,1.0,4.0,150,2,71,Duke Blue Devils,84.1,37.1,15.1,8.7,4.0,13.6,46.6,69.5,38.4,28,6,14,1,7,2,5,11,6,0.824,0.933,0.778,2057,15,70,Belmont Bruins,80.1,36.8,17.4,8.6,1.9,14.7,45.2,69.9,36.5,25,9,11,1,9,5,121,275,106,0.735,0.917,0.643,-13,-116,-264,-100,0
2008,1.0,4.0,2752,3,73,Xavier Musketeers,75.3,36.1,15.5,5.6,3.5,13.3,47.8,75.0,39.2,30,7,17,1,7,4,14,68,14,0.811,0.944,0.636,61,14,61,Georgia Bulldogs,68.3,38.3,11.7,6.8,3.5,14.9,42.8,68.0,32.9,17,17,11,5,1,9,85,31,79,0.5,0.688,0.1,-11,-71,37,-65,0
2008,1.0,4.0,41,4,69,UConn Huskies,77.7,41.9,14.8,5.8,8.8,13.6,46.3,71.9,35.9,24,9,14,1,7,4,22,44,22,0.727,0.933,0.636,301,13,70,San Diego Toreros,65.6,33.7,13.3,6.8,3.1,15.0,45.0,67.6,34.3,22,14,10,5,7,6,136,99,93,0.611,0.667,0.538,-9,-114,-55,-71,1
2008,1.0,4.0,2181,5,99,Drake Bulldogs,73.2,34.0,14.6,7.6,2.5,11.7,44.9,75.6,36.8,28,5,11,1,10,2,32,121,24,0.848,0.917,0.833,98,12,101,Western Kentucky Hilltoppers,76.8,35.0,12.6,7.8,3.7,14.2,47.3,69.8,38.9,29,7,13,1,9,3,53,194,48,0.806,0.929,0.75,-7,-21,-73,-24,1
2008,1.0,4.0,2509,6,90,Purdue Boilermakers,68.7,32.6,13.4,8.5,4.3,12.9,42.3,70.6,37.0,25,9,15,0,6,4,33,61,25,0.735,1.0,0.6,239,11,79,Baylor Bears,81.4,37.4,12.2,7.4,4.4,12.6,45.6,74.2,38.2,21,11,12,4,6,4,56,66,44,0.656,0.75,0.6,-5,-23,-5,-19,0
2008,1.0,4.0,277,7,75,West Virginia Mountaineers,74.9,35.9,15.5,7.2,5.1,11.1,45.4,68.2,35.3,26,11,13,4,7,5,7,20,19,0.703,0.765,0.583,12,10,65,Arizona Wildcats,72.1,31.1,15.6,5.6,3.5,12.2,47.8,74.7,39.0,19,15,10,6,6,6,29,1,33,0.559,0.625,0.5,-3,-22,19,-14,0
2008,1.0,4.0,252,8,62,BYU Cougars,74.1,39.0,16.9,5.9,3.9,14.3,46.0,65.8,37.5,27,8,15,0,8,4,52,126,41,0.771,1.0,0.667,245,9,67,Texas A&M Aggies,71.5,39.3,13.4,4.5,4.2,12.8,46.6,63.7,35.8,25,11,14,4,4,4,23,49,28,0.694,0.778,0.5,-1,29,77,13,1
2008,2.0,1.0,153,1,108,North Carolina Tar Heels,88.7,44.2,16.7,8.3,4.6,14.7,48.2,75.4,37.8,36,3,14,2,11,0,2,9,1,0.923,0.875,1.0,8,9,77,Arkansas Razorbacks,73.6,36.8,14.5,7.0,5.3,15.5,46.6,67.2,33.9,23,12,15,1,3,7,36,54,36,0.657,0.938,0.3,-8,-34,-45,-35,0
2008,2.0,1.0,2633,2,76,Tennessee Volunteers,83.0,38.1,18.2,9.3,3.4,12.8,46.1,65.6,36.2,31,5,14,0,11,2,9,19,5,0.861,1.0,0.846,2086,7,71,Butler Bulldogs,68.3,29.7,13.0,6.3,2.5,10.3,45.0,73.7,37.6,30,4,12,1,11,2,21,141,18,0.882,0.923,0.846,-5,-12,-122,-13,0
2008,2.0,1.0,97,3,78,Louisville Cardinals,71.9,37.8,14.8,8.1,4.9,13.3,45.3,65.5,34.2,27,9,13,2,8,3,10,14,12,0.75,0.867,0.727,201,6,48,Oklahoma Sooners,68.4,36.0,12.5,6.6,3.9,12.9,44.2,68.1,34.8,23,12,12,3,5,6,39,29,30,0.657,0.8,0.455,-3,-29,-15,-18,0
