Year,Round,Region Number,Region Name,Seed,Score,Team1,Team2,Score,Seed,team1id,team2id
2010,4,4,South,1,78,Duke,Baylor,71,3,150,239
2010,5,1,Final Four,5,50,Michigan St,Butler,52,5,127,2086
2010,5,2,Final Four,2,57,West Virginia,Duke,78,1,277,150
2010,6,1,Championship,5,59,Butler,Duke,61,1,2086,150
2011,1,1,East,1,75,Ohio St,Texas San Antonio,46,16,194,2636
2011,1,1,East,2,102,North Carolina,Long Island Brooklyn,87,15,153,112358
2011,1,1,East,3,77,Syracuse,Indiana St,60,14,183,282
2011,1,1,East,4,59,Kentucky,Princeton,57,13,96,163
2011,1,1,East,5,84,West Virginia,Clemson,78,12,277,228
2011,1,1,East,6,55,Xavier,Marquette,66,11,2752,269
2011,1,1,East,7,68,Washington,Georgia,65,10,264,61
2011,1,1,East,8,61,George Mason,Villanova,57,9,2244,222
2011,1,2,West,1,87,Duke,Hampton,45,16,150,2261
2011,1,2,West,2,68,San Diego St,Northern Colorado,50,15,21,2458
2011,1,2,West,3,81,Connecticut,Bucknell,52,14,41,2083
2011,1,2,West,4,85,Texas,Oakland,81,13,251,2473
2011,1,2,West,5,77,Arizona,Memphis,75,12,12,235
2011,1,2,West,6,78,Cincinnati,Missouri,63,11,2132,142
2011,1,2,West,7,66,Temple,Penn St,64,10,218,213
2011,1,2,West,8,75,Michigan,Tennessee,45,9,130,2633
2011,1,3,Southwest,1,72,Kansas,Boston University,53,16,2305,104
2011,1,3,Southwest,2,69,Notre Dame,Akron,56,15,87,2006
2011,1,3,Southwest,3,65,Purdue,St Peters,43,14,2509,2612
2011,1,3,Southwest,4,61,Louisville,Morehead St,62,13,97,2413
2011,1,3,Southwest,5,66,Vanderbilt,Richmond,69,12,238,257
2011,1,3,Southwest,6,56,Georgetown,VCU,74,11,46,2670
2011,1,3,Southwest,7,50,Texas A&M,Florida St,57,10,245,52
2011,1,3,Southwest,8,62,UNLV,Illinois,73,9,2439,356
2011,1,4,Southeast,1,74,Pittsburgh,UNC Asheville,51,16,221,2427
2011,1,4,Southeast,2,79,Florida,Santa Barbara,51,15,57,2540
2011,1,4,Southeast,3,74,BYU,Wofford,66,14,252,2747
2011,1,4,Southeast,4,72,Wisconsin,Belmont,58,13,275,2057
2011,1,4,Southeast,5,73,Kansas St,Utah St,68,12,2306,328
2011,1,4,Southeast,6,71,St Johns,Gonzaga,86,11,2599,2250
2011,1,4,Southeast,7,78,UCLA,Michigan St,76,10,26,127
2011,1,4,Southeast,8,60,Butler,Old Dominion,58,9,2086,295
2011,2,1,East,1,98,Ohio St,George Mason,66,8,194,2244
2011,2,1,East,2,86,North Carolina,Washington,83,7,153,264
2011,2,1,East,3,62,Syracuse,Marquette,66,11,183,269
2011,2,1,East,4,71,Kentucky,West Virginia,63,5,96,277
2011,2,2,West,1,73,Duke,Michigan,71,8,150,130
2011,2,2,West,2,71,San Diego St,Temple,64,7,21,218
2011,2,2,West,3,69,Connecticut,Cincinnati,58,6,41,2132
2011,2,2,West,4,69,Texas,Arizona,70,5,251,12
2011,2,3,Southwest,1,73,Kansas,Illinois,59,9,2305,356
2011,2,3,Southwest,2,57,Notre Dame,Florida St,71,10,87,52
2011,2,3,Southwest,3,76,Purdue,VCU,94,11,2509,2670
2011,2,3,Southwest,13,48,Morehead St,Richmond,65,12,2413,257
2011,2,4,Southeast,1,70,Pittsburgh,Butler,71,8,221,2086
2011,2,4,Southeast,2,73,Florida,UCLA,65,7,57,26
2011,2,4,Southeast,3,89,BYU,Gonzaga,67,11,252,2250
2011,2,4,Southeast,4,70,Wisconsin,Kansas St,65,5,275,2306
2011,3,1,East,1,60,Ohio St,Kentucky,62,4,194,96
2011,3,1,East,2,81,North Carolina,Marquette,63,11,153,269
2011,3,2,West,1,77,Duke,Arizona,93,5,150,12
2011,3,2,West,2,67,San Diego St,Connecticut,74,3,21,41
2011,3,3,Southwest,1,77,Kansas,Richmond,57,12,2305,257
2011,3,3,Southwest,10,71,Florida St,VCU,72,11,52,2670
2011,3,4,Southeast,8,61,Butler,Wisconsin,54,4,2086,275
2011,3,4,Southeast,2,83,Florida,BYU,74,3,57,252
2011,4,1,East,4,76,Kentucky,North Carolina,69,2,96,153
2011,4,2,West,5,63,Arizona,Connecticut,65,3,12,41
2011,4,3,Southwest,1,61,Kansas,VCU,71,11,2305,2670
2011,4,4,Southeast,8,74,Butler,Florida,71,2,2086,57
2011,5,1,Final Four,4,55,Kentucky,Connecticut,56,3,96,41
2011,5,2,Final Four,11,62,VCU,Butler,70,8,2670,2086
2011,6,1,Championship,3,53,Connecticut,Butler,41,8,41,2086
2012,1,1,South,1,81,Kentucky,Western Kentucky,66,16,96,98
2012,1,1,South,2,70,Duke,Lehigh,75,15,150,2329
2012,1,1,South,3,68,Baylor,South Dakota St,60,14,239,2571
2012,1,1,South,4,79,Indiana,New Mexico St,66,13,84,166
2012,1,1,South,5,59,Wichita St,VCU,62,12,2724,2670
2012,1,1,South,6,64,UNLV,Colorado,68,11,2439,38
2012,1,1,South,7,63,Notre Dame,Xavier,67,10,87,2752
2012,1,1,South,8,77,Iowa St,Connecticut,64,9,66,41
2012,1,2,West,1,89,Michigan St,Long Island Brooklyn,67,16,127,112358
2012,1,2,West,2,84,Missouri,Norfolk St,86,15,142,2450
2012,1,2,West,3,88,Marquette,BYU,68,14,269,252
2012,1,2,West,4,69,Louisville,Davidson,62,13,97,2166
2012,1,2,West,5,75,New Mexico,Long Beach St,68,12,167,299
2012,1,2,West,6,58,Murray St,Colorado St,41,11,93,36
2012,1,2,West,7,71,Florida,Virginia,45,10,57,258
2012,1,2,West,8,54,Memphis,St Louis,61,9,235,139
2012,1,3,East,1,72,Syracuse,UNC Asheville,65,16,183,2427
2012,1,3,East,2,78,Ohio St,Loyola Maryland,59,15,194,2351
2012,1,3,East,3,86,Florida St,St Bonaventure,63,14,52,179
2012,1,3,East,4,73,Wisconsin,Montana,49,13,275,149
2012,1,3,East,5,79,Vanderbilt,Harvard,70,12,238,108
2012,1,3,East,6,65,Cincinnati,Texas,59,11,2132,251
2012,1,3,East,7,77,Gonzaga,West Virginia,54,10,2250,277
2012,1,3,East,8,70,Kansas St,Southern Mississippi,64,9,2306,2572
2012,1,4,Midwest,1,77,North Carolina,Vermont,58,16,153,261
2012,1,4,Midwest,2,65,Kansas,Detroit,50,15,2305,2174
2012,1,4,Midwest,3,74,Georgetown,Belmont,59,14,46,2057
2012,1,4,Midwest,4,60,Michigan,Ohio,65,13,130,195
2012,1,4,Midwest,5,44,Temple,South Florida,58,12,218,58
2012,1,4,Midwest,6,65,San Diego St,NC State,79,11,21,152
2012,1,4,Midwest,7,69,St Marys,Purdue,72,10,116,2509
2012,1,4,Midwest,8,58,Creighton,Alabama,57,9,156,333
2012,2,1,South,1,87,Kentucky,Iowa St,71,8,96,66
2012,2,1,South,15,58,Lehigh,Xavier,70,10,2329,2752
2012,2,1,South,3,80,Baylor,Colorado,63,11,239,38
2012,2,1,South,4,63,Indiana,VCU,61,12,84,2670
2012,2,2,West,1,65,Michigan St,St Louis,61,9,127,139
2012,2,2,West,15,50,Norfolk St,Florida,84,7,2450,57
2012,2,2,West,3,62,Marquette,Murray St,53,6,269,93
2012,2,2,West,4,59,Louisville,New Mexico,58,5,97,167
2012,2,3,East,1,75,Syracuse,Kansas St,59,8,183,2306
2012,2,3,East,2,73,Ohio St,Gonzaga,66,7,194,2250
2012,2,3,East,3,56,Florida St,Cincinnati,62,6,52,2132
2012,2,3,East,4,60,Wisconsin,Vanderbilt,57,5,275,238
2012,2,4,Midwest,1,87,North Carolina,Creighton,73,8,153,156
2012,2,4,Midwest,2,63,Kansas,Purdue,60,10,2305,2509
2012,2,4,Midwest,3,63,Georgetown,NC State,88,11,46,152
2012,2,4,Midwest,13,62,Ohio,South Florida,56,12,195,58
2012,3,1,South,1,102,Kentucky,Indiana,90,4,96,84
2012,3,1,South,10,70,Xavier,Baylor,75,3,2752,239
2012,3,2,West,1,44,Michigan St,Louisville,57,4,127,97
2012,3,2,West,7,68,Florida,Marquette,58,3,57,269
2012,3,3,East,1,84,Syracuse,Wisconsin,83,4,183,275
